CONCISE NET LIST - 1  
CAN_ENABLE_SW            U101_UP          A20      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_ENABLE_SW            U2_FCCU          1        SN74HCS11_AAI_TSSOP-AAI-SN74HCS11QPWRQ1
CAN_F_N_CANA             L1_CANA          4        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_F_N_CANA             R4_CANA          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_F_N_CANA             U1_CANA          12       TJA1463_AAI_HVSON-AAI-TJA1463
CAN_F_N_CANB             L1_CANB          4        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_F_N_CANB             R4_CANB          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_F_N_CANB             U1_CANB          12       TJA1463_AAI_HVSON-AAI-TJA1463
CAN_F_P_CANA             L1_CANA          3        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_F_P_CANA             R3_CANA          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_F_P_CANA             U1_CANA          13       TJA1463_AAI_HVSON-AAI-TJA1463
CAN_F_P_CANB             L1_CANB          3        CHOKE_4P5_AAI_SM-AAI-170UH-3.5OHM
CAN_F_P_CANB             R3_CANB          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_F_P_CANB             U1_CANB          13       TJA1463_AAI_HVSON-AAI-TJA1463
CAN_RXD_R_CANA           R8_CANA          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_RXD_R_CANA           U1_CANA          4        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_RXD_R_CANB           R8_CANB          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_RXD_R_CANB           U1_CANB          4        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_STANDBY_L            R5_CANA          1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
CAN_STANDBY_L            R5_CANB          1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
CAN_STANDBY_L            U101_UP          A19      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
CAN_STANDBY_L            U1_CANA          14       TJA1463_AAI_HVSON-AAI-TJA1463
CAN_STANDBY_L            U1_CANB          14       TJA1463_AAI_HVSON-AAI-TJA1463
CAN_TERM_CANA            C7_CANA          2        CAP_AAI_0603-AAI-4700PF,10%,100V,X7R
CAN_TERM_CANA            R1_CANA          2        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_TERM_CANA            R2_CANA          1        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_TERM_CANB            C7_CANB          2        CAP_AAI_0603-AAI-4700PF,10%,100V,X7R
CAN_TERM_CANB            R1_CANB          2        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_TERM_CANB            R2_CANB          1        RES_AAI_1206-AAI-2.2K,1%,3/4W,TK
CAN_TXD_R_CANA           R7_CANA          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_TXD_R_CANA           U1_CANA          1        TJA1463_AAI_HVSON-AAI-TJA1463
CAN_TXD_R_CANB           R7_CANB          2        RES_AAI_0603-AAI-0,0%,1/10W,TK
CAN_TXD_R_CANB           U1_CANB          1        TJA1463_AAI_HVSON-AAI-TJA1463
CAP1_PU1                 C3_PU1           2        CAP_AAI_0805-AAI-0.22UF,10%,100V,X7R
CAP1_PU1                 C4_PU1           1        CAP_AAI_0805-AAI-0.22UF,10%,100V,X7R
CAP1_PV1                 C3_PV1           2        CAP_AAI_0805-AAI-0.22UF,10%,100V,X7R
CAP1_PV1                 C4_PV1           1        CAP_AAI_0805-AAI-0.22UF,10%,100V,X7R
CAP1_PW1                 C3_PW1           2        CAP_AAI_0805-AAI-0.22UF,10%,100V,X7R
CAP1_PW1                 C4_PW1           1        CAP_AAI_0805-AAI-0.22UF,10%,100V,X7R
CLKIN_R2D                C110_R2D         1        CAP_AAI_0402-AAI-16PF,5%,50V,C0G
CLKIN_R2D                U1_R2D           7        AD2S1210_AAI_LQFP-AAI-AD2S1210
CLKIN_R2D                Y1_R2D           3        CRYSTAL_4PIN_AAI_3.20X2.50-SM-AAI-10MHZ-70PPM-12PF
CLK_IN_UP                R425_UP          2        RES_AAI_0402-AAI-0,0%,1/10W,TK
CLK_IN_UP                R445_UP          2        RES_AAI_0402-AAI-0,0%,1/10W,TK
CLK_IN_UP                U404_UP          1        74AHC1G4214_SOT353-74AHC1G4214-Q100
CLMP_LU                  R20_LU           1        RES_AAI_0603-AAI-0,0%,1/4W,TK
CLMP_LU                  U1_LU            7        UCC21750_AAI_SOIC-AAI-UCC21750-Q1
CLMP_LV                  R20_LV           1        RES_AAI_0603-AAI-0,0%,1/4W,TK
CLMP_LV                  U1_LV            7        UCC21750_AAI_SOIC-AAI-UCC21750-Q1
CLMP_LW                  R20_LW           1        RES_AAI_0603-AAI-0,0%,1/4W,TK
CLMP_LW                  U1_LW            7        UCC21750_AAI_SOIC-AAI-UCC21750-Q1
CLMP_UU                  R20_UU           1        RES_AAI_0603-AAI-0,0%,1/4W,TK
CLMP_UU                  U1_UU            7        UCC21750_AAI_SOIC-AAI-UCC21750-Q1
CLMP_UV                  R20_UV           1        RES_AAI_0603-AAI-0,0%,1/4W,TK
CLMP_UV                  U1_UV            7        UCC21750_AAI_SOIC-AAI-UCC21750-Q1
